Kalenderår;Kod;Benämning;Omfattning;Enhet;Nivå inom studieordning;Kvinnor;Män;Total
"2017";"MM7018";"Krypteringsmatematik";"7,5";"HP";"Avancerad nivå";"0,5";"2,0";"2,5"
"2018";"MM7018";"Krypteringsmatematik";"7,5";"HP";"Avancerad nivå";"0,375";"1,625";"2,0"
"2019";"MM7018";"Krypteringsmatematik";"7,5";"HP";"Avancerad nivå";"0,625";"1,5";"2,125"
"2020";"MM7018";"Krypteringsmatematik";"7,5";"HP";"Avancerad nivå";"1,0";"1,375";"2,375"
"2017";"MM7020";"Matematisk kommunikation";"7,5";"HP";"Avancerad nivå";"0,5";"3,05";"3,55"
"2018";"MM7020";"Matematisk kommunikation";"7,5";"HP";"Avancerad nivå";"0,625";"2,05";"2,675"
"2019";"MM7020";"Matematisk kommunikation";"7,5";"HP";"Avancerad nivå";"1,225";"3,275";"4,5"
"2020";"MM7020";"Matematisk kommunikation";"7,5";"HP";"Avancerad nivå";"0,9";"3,925";"4,825"
"2021";"MM7020";"Matematisk kommunikation";"7,5";"HP";"Avancerad nivå";"1,075";"3,4";"4,475"
"2017";"MM7021";"Elementär differentialgeometri";"7,5";"HP";"Avancerad nivå";"0";"0,5";"0,5"
"2018";"MM7021";"Elementär differentialgeometri";"7,5";"HP";"Avancerad nivå";"0,125";"0,75";"0,875"
"2020";"MM7021";"Elementär differentialgeometri";"7,5";"HP";"Avancerad nivå";"0,5";"1,25";"1,75"
"2018";"MM7022";"Logik II";"7,5";"HP";"Avancerad nivå";"0,375";"1,0";"1,375"
"2019";"MM7022";"Logik II";"7,5";"HP";"Avancerad nivå";"0";"1,125";"1,125"
"2020";"MM7022";"Logik II";"7,5";"HP";"Avancerad nivå";"0,125";"1,0";"1,125"
"2021";"MM7022";"Logik II";"7,5";"HP";"Avancerad nivå";"0";"0,625";"0,625"
"2019";"MM7023";"Teori för beräkningar och formella språk";"7,5";"HP";"Avancerad nivå";"0,125";"1,375";"1,5"
"2021";"MM7023";"Teori för beräkningar och formella språk";"7,5";"HP";"Avancerad nivå";"0,125";"0,75";"0,875"
"2019";"MM7024";"Linjär algebra och inlärning från data";"7,5";"HP";"Avancerad nivå";"0";"1,875";"1,875"
"2020";"MM7024";"Linjär algebra och inlärning från data";"7,5";"HP";"Avancerad nivå";"0,875";"1,875";"2,75"
"2021";"MM7024";"Linjär algebra och inlärning från data";"7,5";"HP";"Avancerad nivå";"1,25";"1,125";"2,375"
"2020";"MM7025";"Datoralgebra";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2020";"MM7026";"Avancerad komplex analys";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2020";"MM7028";"Optimering";"7,5";"HP";"Avancerad nivå";"0";"0,75";"0,75"
"2021";"MM7028";"Optimering";"7,5";"HP";"Avancerad nivå";"0,25";"0";"0,25"
"2021";"MM7029";"Krypteringsmatematik";"7,5";"HP";"Avancerad nivå";"0,125";"1,33333";"1,45833"
"2021";"MM7041";"Topologi";"7,5";"HP";"Avancerad nivå";"1,0";"4,25";"5,25"
"2021";"MM7042";"Kommutativ algebra och algebraisk geometri";"7,5";"HP";"Avancerad nivå";"0,125";"2,25";"2,375"
"2020";"MM7043";"Galoisteori";"7,5";"HP";"Avancerad nivå";"0,125";"0,75";"0,875"
"2021";"MM7043";"Galoisteori";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2020";"MM705U";"Ordinära differentialekvationer- kurs inom VAL-projektet";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2017";"MM8002";"Topologi";"7,5";"HP";"Avancerad nivå";"0,375";"2,25";"2,625"
"2018";"MM8002";"Topologi";"7,5";"HP";"Avancerad nivå";"0,25";"1,625";"1,875"
"2019";"MM8002";"Topologi";"7,5";"HP";"Avancerad nivå";"1,0";"4,25";"5,25"
"2020";"MM8002";"Topologi";"7,5";"HP";"Avancerad nivå";"0";"0,5";"0,5"
"2021";"MM8002";"Topologi";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2017";"MM8003";"Fourieranalys";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2018";"MM8003";"Fourieranalys";"7,5";"HP";"Avancerad nivå";"0";"0,625";"0,625"
"2017";"MM8004";"Algebra IV";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2017";"MM8005";"Galoisteori";"7,5";"HP";"Avancerad nivå";"0,125";"2,125";"2,25"
"2019";"MM8005";"Galoisteori";"7,5";"HP";"Avancerad nivå";"0,375";"1,625";"2,0"
"2017";"MM8008";"Partiella differentialekvationer";"7,5";"HP";"Avancerad nivå";"0,375";"0,625";"1,0"
"2018";"MM8008";"Partiella differentialekvationer";"7,5";"HP";"Avancerad nivå";"0,125";"0,25";"0,375"
"2020";"MM8008";"Partiella differentialekvationer";"7,5";"HP";"Avancerad nivå";"0,5";"0,875";"1,375"
"2021";"MM8008";"Partiella differentialekvationer";"7,5";"HP";"Avancerad nivå";"0,125";"0,875";"1,0"
"2018";"MM8011";"Kombinatorik III";"7,5";"HP";"Avancerad nivå";"0";"0,75";"0,75"
"2020";"MM8011";"Kombinatorik III";"7,5";"HP";"Avancerad nivå";"0,125";"0,375";"0,5"
"2018";"MM8012";"Talteori";"7,5";"HP";"Avancerad nivå";"0,125";"0,625";"0,75"
"2020";"MM8012";"Talteori";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2019";"MM8014";"Kaotiska dynamiska system";"7,5";"HP";"Avancerad nivå";"0,125";"0,125";"0,25"
"2021";"MM8014";"Kaotiska dynamiska system";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2018";"MM8015";"Optimering II";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2019";"MM8015";"Optimering II";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2018";"MM8016";"Matematisk kontrollteori";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2020";"MM8016";"Matematisk kontrollteori";"7,5";"HP";"Avancerad nivå";"0,125";"0,25";"0,375"
